Year,Country,Product,iso3code,hhi,Stability value,CRI score,Domestic Production Value
2000,AZERBAIJAN,COPPER,AZE,0.137154946474379,-0.83,118.0,
2000,AZERBAIJAN,GOLD,AZE,0.137154946474379,-0.83,118.0,
2000,AZERBAIJAN,IRON,AZE,0.137154946474379,-0.83,118.0,
2000,AZERBAIJAN,SILVER,AZE,0.137154946474379,-0.83,118.0,
2000,AZERBAIJAN,NATURAL GAS,AZE,0.137154946474379,-0.83,118.0,3755620.6637168126
2000,AZERBAIJAN,PETROLEUM,AZE,0.137154946474379,-0.83,118.0,14068999.999999998
2000,CARIBBEAN BASIN TRADE PARTNERSHIP ACT : 2007,,B01,,,,
2000,CARIBBEAN BASIN TRADE PARTNERSHIP ACT: 2009,,B02,,,,
2000,"CHINA 2 SELECTED AFRICAN LDCS (NER,SOM)",,B03,,,,
2000,CHINA SELECTED LDCS COUNTRIES,,B04,,,,
2000,BURUNDI,GOLD,BDI,0.0826368719540421,-2.01,61.83,0.0
2000,BURUNDI,TIN,BDI,0.0826368719540421,-2.01,61.83,
2000,BURUNDI,TUNGSTEN,BDI,0.0826368719540421,-2.01,61.83,
2000,BENIN,GOLD,BEN,0.0775000224419411,0.8,118.0,
2000,BURKINA FASO,GOLD,BFA,0.0759146607629364,0.06,118.0,625.0
2000,BURKINA FASO,LEAD,BFA,0.0759146607629364,0.06,118.0,
2000,BURKINA FASO,MANGANESE,BFA,0.0759146607629364,0.06,118.0,
2000,BURKINA FASO,SILVER,BFA,0.0759146607629364,0.06,118.0,
2000,BURKINA FASO,ZINC,BFA,0.0759146607629364,0.06,118.0,
2000,BANGLADESH,NATURAL GAS,BGD,0.170730054379429,-0.73,23.5,6612477.719130938
2000,BULGARIA,ASBESTOS,BGR,0.0606198444986768,0.38,101.0,66.0
2000,BULGARIA,BARYTES,BGR,0.0606198444986768,0.38,101.0,125400.0
2000,BULGARIA,BISMUTH,BGR,0.0606198444986768,0.38,101.0,40.0
2000,BULGARIA,CADMIUM,BGR,0.0606198444986768,0.38,101.0,331.0
2000,BULGARIA,COPPER,BGR,0.0606198444986768,0.38,101.0,93200.0
2000,BULGARIA,GOLD,BGR,0.0606198444986768,0.38,101.0,1720.0
2000,BULGARIA,IRON,BGR,0.0606198444986768,0.38,101.0,588800.0
2000,BULGARIA,LEAD,BGR,0.0606198444986768,0.38,101.0,13700.0
